,Unnamed: 0,SUBJECT,TRIAL,TRIAL_ABS,ROT,SIG_MP,HA_INIT,HA_MID,HA_END,GROUP
47,47,1,48,48,-1.623995971,1,0.348756195,0.194433435,1.5202066930000002,4
48,48,1,49,49,-1.339769436,1,0.5361235129999999,0.354100265,1.358678641,4
49,49,1,50,50,-1.563969329,1,0.566293383,0.693014405,1.300564516,4
50,50,1,51,51,-1.076041001,4,0.659559056,0.196780318,0.5174020770000001,4
51,51,1,52,52,-0.46362268,1,0.536687366,0.791324054,0.462118676,4
52,52,1,53,53,-0.541149843,1,0.475329721,0.729731965,0.390039714,4
53,53,1,54,54,-1.822397021,1,0.505270914,0.647080064,1.617530606,4
54,54,1,55,55,-1.239053962,2,0.638155654,0.490601928,0.847963818,4
55,55,1,56,56,-0.894859725,1,0.696225538,0.329788741,0.992466346,4
56,56,1,57,57,-0.946314196,1,0.413908223,0.361109569,0.921198639,4
57,57,1,58,58,-1.355295222,2,0.4240761870000001,0.305144779,1.040975477,4
58,58,1,59,59,-0.964886039,1,0.596905704,0.441894354,0.8981256440000001,4
59,59,1,60,60,-0.8487363929999999,1,0.499950673,0.6811818479999999,0.793576795,4
60,60,1,61,61,-1.283772427,4,0.882408906,0.951824188,0.581646526,4
61,61,1,62,62,-0.620927931,4,0.509224291,0.6616706720000001,0.587580517,4
62,62,1,63,63,-0.776050088,2,0.652801667,0.572360333,0.633844603,4
63,63,1,64,64,-0.7284425090000001,2,0.573374433,0.834633753,0.5559550360000001,4
64,64,1,65,65,-0.725497368,3,0.475712761,0.568594544,0.5616241270000001,4
65,65,1,66,66,-0.97194539,1,0.791285747,0.755408871,0.918258963,4
66,66,1,67,67,-1.092696586,1,0.652140478,0.85515826,1.039400151,4
67,67,1,68,68,-0.8371213609999999,1,0.432954666,0.641751588,0.711943145,4
68,68,1,69,69,-1.098170301,1,0.886526778,0.574971372,0.8929873970000001,4
69,69,1,70,70,-0.616171999,1,0.68777463,1.185774835,0.8027157090000001,4
70,70,1,71,71,-1.6019658280000002,1,0.649766281,0.608522561,1.452252528,4
71,71,1,72,72,-1.60489895,3,0.534206121,0.680317724,0.7012230279999999,4
72,72,1,73,73,0.127149393,1,0.6130165479999999,0.7175800309999999,0.023751827000000003,4
73,73,1,74,74,-0.8651237820000001,4,0.141129069,0.356188206,0.6525529,4
74,74,1,75,75,-1.154851424,3,0.7659477570000001,0.7517163,0.7168010290000001,4
75,75,1,76,76,-1.474025599,3,0.205323665,1.085961173,0.7585130940000001,4
76,76,1,77,77,-1.4481623819999998,1,0.8636169290000001,0.64102532,1.440770982,4
77,77,1,78,78,-0.969691234,1,0.516272729,0.7581436970000001,0.820674908,4
78,78,1,79,79,-0.940253316,1,0.597001377,0.734941745,0.6914048759999999,4
79,79,1,80,80,-1.6051680819999998,1,0.417115984,0.4401179220000001,1.4699757619999998,4
80,80,1,81,81,-0.444707743,3,0.843000585,0.373696995,0.588071664,4
81,81,1,82,82,-1.258700562,1,0.6016660460000001,0.99399414,1.005054697,4
82,82,1,83,83,-1.21144115,1,0.866616486,0.413048199,1.126691244,4
83,83,1,84,84,-0.478468264,1,0.981262288,0.915645158,0.566329581,4
84,84,1,85,85,-0.82779992,1,0.6148832129999999,1.03616684,0.753066149,4
85,85,1,86,86,-1.670846491,1,1.096324527,0.982534773,1.326041355,4
86,86,1,87,87,-2.126381846,1,0.920285822,0.667605693,1.785781246,4
87,87,1,88,88,-0.422439274,1,0.61205656,0.659869487,0.570143289,4
88,88,1,89,89,-1.522061996,3,0.932805238,0.763875431,0.798162923,4
89,89,1,90,90,-0.684764467,1,0.845552263,0.784125065,0.62855838,4
90,90,1,91,91,-1.189057138,1,0.8018612909999999,0.621701559,1.163233705,4
91,91,1,92,92,-0.659019039,3,0.89692906,0.7454648159999999,0.679915485,4
92,92,1,93,93,-1.185514936,4,0.6069893470000001,0.80362981,0.735144644,4
93,93,1,94,94,-0.505259653,1,0.620724961,0.612811141,0.568035285,4
94,94,1,95,95,-0.6555175529999999,2,0.706341938,0.8001405640000001,0.607572866,4
95,95,1,96,96,-0.8097420790000001,3,1.026613031,0.644241379,0.766592163,4
96,96,1,97,97,-1.154576164,1,0.623058121,0.7862979179999999,1.159159345,4
97,97,1,98,98,-2.138869711,4,0.993524285,0.340508729,0.7534030359999999,4
98,98,1,99,99,-1.593495309,1,0.472635903,0.63384373,1.314173623,4
99,99,1,100,100,-0.637346869,2,0.720370442,0.625994765,0.78309748,4
100,100,1,101,101,-1.26755341,1,0.940375545,0.760487224,1.097342916,4
101,101,1,102,102,-1.3854141130000002,1,0.720860658,0.54053577,1.039062002,4
102,102,1,103,103,-0.8284515570000001,2,0.980621904,0.8604092040000001,0.909390661,4
103,103,1,104,104,-0.688377232,4,0.5033608270000001,0.41911962,0.7736593890000001,4
104,104,1,105,105,-1.451426658,2,0.798020643,0.428592214,1.033728501,4
105,105,1,106,106,-1.2525202359999998,3,0.934719627,0.924631687,0.86653558,4
106,106,1,107,107,-1.190035151,2,0.6346743420000001,0.812690584,1.066321967,4
107,107,1,108,108,-1.307696845,3,0.536370163,0.148421053,0.909516604,4
108,108,1,109,109,-1.047498387,1,0.534288661,0.626698478,0.997447364,4
109,109,1,110,110,-1.087795343,4,0.8169187590000001,0.657954621,0.7922518129999999,4
110,110,1,111,111,-0.466333402,4,1.0871899390000002,0.702076,0.795198546,4
