GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,TARGET,ROT,SIG_MP,DIR,HA_INIT,HA_MID,HA_END
0,10,Baseline,RH,2,2,0,0,4,CCW,6.760481735,5.10508103,2.758175702
0,10,Baseline,RH,3,3,0,0,4,CCW,1.038475634,-0.586003151,-3.257140822
0,10,Baseline,RH,4,4,0,0,4,CCW,6.337139062,4.707662885,2.43383777
0,10,Baseline,RH,5,5,0,0,4,CCW,-1.524103535,-2.938977199,-6.013906159
0,10,Baseline,RH,6,6,0,0,4,CCW,0.923902775,-0.785813377,-3.213061846
0,10,Baseline,RH,7,7,0,0,4,CCW,4.600782073,2.968640656,0.058230666
0,10,Baseline,RH,8,8,0,0,4,CCW,10.61161275,8.609858255,6.34180169
0,10,Baseline,RH,9,9,0,0,4,CCW,7.641600377,5.928908449,3.243494627
0,10,Baseline,RH,10,10,0,0,4,CCW,-4.173372159,-5.90475649,-8.221027101
0,11,Baseline,RH,1,1,0,0,4,CCW,7.992063545,6.48146778,3.629037291
0,11,Baseline,RH,2,2,0,0,4,CCW,1.135810586,-0.106512213,-3.154993822
0,11,Baseline,RH,3,3,0,0,4,CCW,4.370846377,2.945090626,-0.534255706
0,11,Baseline,RH,4,4,0,0,4,CCW,0.749493731,-0.598947886,-3.987471444
0,11,Baseline,RH,5,5,0,0,4,CCW,-0.896398291,-2.283604508,-5.80524625
0,11,Baseline,RH,6,6,0,0,4,CCW,-0.099203059,-1.710230771,-4.861573274
0,11,Baseline,RH,7,7,0,0,4,CCW,-1.33469694,-2.723341327,-6.270321824
0,11,Baseline,RH,8,8,0,0,4,CCW,0.944635348,-0.376342025,-3.427875235
0,11,Baseline,RH,9,9,0,0,4,CCW,2.003783161,0.585648705,-2.148901239
0,11,Baseline,RH,10,10,0,0,4,CCW,-3.062664306,-4.530486953,-8.032342656
0,12,Baseline,RH,1,1,0,0,4,CCW,-0.917638586,-2.499505472,-5.194726592
0,12,Baseline,RH,2,2,0,0,4,CCW,7.75976028,6.450287479,2.94074165
0,12,Baseline,RH,3,3,0,0,4,CCW,5.397788031,3.834324537,0.773735012
0,12,Baseline,RH,4,4,0,0,4,CCW,-0.560990641,-2.076594657,-5.270737388
0,12,Baseline,RH,5,5,0,0,4,CCW,1.36700309,-0.397874,-3.597157045
