GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,ROT,SIG_MP,DIR,HA_INIT,HA_MID,HA_END
2,19,BASELINE,RH,9,9,0,4,CCW,2.580390911,0.799322521,-2.475084699
2,19,BASELINE,RH,10,10,0,4,CCW,0.885887953,2.334830296,-0.319028051
2,20,BASELINE,RH,1,1,0,4,CCW,-2.066115072,-0.549740404,0.448325309
2,20,BASELINE,RH,2,2,0,4,CCW,4.676426633,0.866111993,-0.258417372
2,20,BASELINE,RH,3,3,0,4,CCW,2.210457412,0.575035401,-1.738850604
2,20,BASELINE,RH,4,4,0,4,CCW,1.873514285,2.545464845,1.669853244
2,20,BASELINE,RH,5,5,0,4,CCW,3.946348369,-1.833466558,-3.441325268
2,20,BASELINE,RH,6,6,0,4,CCW,1.472822721,1.253770455,3.431223848
2,20,BASELINE,RH,7,7,0,4,CCW,1.773707101,-4.303013943,-2.488582886
2,20,BASELINE,RH,8,8,0,4,CCW,-1.804950187,-1.436462023,-2.098352436
2,20,BASELINE,RH,9,9,0,4,CCW,1.60296497,0.227601219,-3.582139466
2,20,BASELINE,RH,10,10,0,4,CCW,1.432491598,3.393532277,0.029512257
2,1,ADAPTATION,RH,1,11,-25,1,CCW,1.5029192,2.837152304,4.216620573
2,1,ADAPTATION,RH,2,12,-34,1,CCW,2.377164855,5.858090511,11.10698787
2,1,ADAPTATION,RH,3,13,-38,1,CCW,5.232499796,7.385155665,16.03483041
2,1,ADAPTATION,RH,4,14,-31,1,CCW,8.623385912,8.015438714,12.99525408
2,1,ADAPTATION,RH,5,15,-30,1,CCW,7.644398454,10.44694321,14.52108752
2,1,ADAPTATION,RH,6,16,-34,1,CCW,11.07488822,9.333895987,18.83534334
2,1,ADAPTATION,RH,7,17,-23,1,CCW,7.616338829,9.783732239,10.5584196
2,1,ADAPTATION,RH,8,18,-29,1,CCW,7.658124011,12.07939875,12.72635172
2,1,ADAPTATION,RH,9,19,-22,1,CCW,10.4552289,10.67979289,9.915469108
2,1,ADAPTATION,RH,10,20,-32,1,CCW,10.09027385,11.98794581,15.18730065
2,1,ADAPTATION,RH,11,21,-30,1,CCW,10.24818884,12.54599379,15.20733347
2,1,ADAPTATION,RH,12,22,-31,1,CCW,10.77128205,13.43309828,15.74016732
2,1,ADAPTATION,RH,13,23,-28,1,CCW,12.70675371,13.45685346,16.27741934
2,1,ADAPTATION,RH,14,24,-23,1,CCW,10.9636798,13.46427761,13.12545955
2,1,ADAPTATION,RH,15,25,-34,1,CCW,12.65751825,14.61991945,22.13160632
2,1,ADAPTATION,RH,16,26,-27,1,CCW,11.81719287,13.99770092,14.46846594
2,1,ADAPTATION,RH,17,27,-31,1,CCW,12.02904642,14.09680774,17.92758735
2,1,ADAPTATION,RH,18,28,-34,1,CCW,13.60577882,15.18290984,20.07682086
2,1,ADAPTATION,RH,19,29,-32,1,CCW,14.78800182,16.80501252,23.67367485
2,1,ADAPTATION,RH,20,30,-27,1,CCW,14.01466967,15.46243262,18.24141691
2,1,ADAPTATION,RH,21,31,-29,1,CCW,15.42052221,18.43947895,18.72783212
2,1,ADAPTATION,RH,22,32,-29,1,CCW,17.10791262,16.14111704,21.34497823
2,1,ADAPTATION,RH,23,33,-34,1,CCW,16.42121958,15.56632516,22.49902383
2,1,ADAPTATION,RH,24,34,-35,1,CCW,15.84531749,16.84302394,22.11737565
2,1,ADAPTATION,RH,25,35,-26,1,CCW,18.88652822,17.5803581,20.05585726
2,1,ADAPTATION,RH,26,36,-26,1,CCW,15.6012255,15.24245015,16.55270007
2,1,ADAPTATION,RH,27,37,-31,1,CCW,16.16729616,16.92981718,21.04792088
2,1,ADAPTATION,RH,28,38,-30,1,CCW,15.45026004,19.64943333,17.87359475
2,1,ADAPTATION,RH,29,39,-31,1,CCW,18.55056951,17.88577776,22.48779752
2,1,ADAPTATION,RH,30,40,-26,1,CCW,16.51383585,17.70445779,16.07106688
2,1,ADAPTATION,RH,31,41,-25,1,CCW,16.19638532,19.13816591,16.86472641
2,1,ADAPTATION,RH,32,42,-30,1,CCW,17.13799062,19.37637665,24.63228545
2,1,ADAPTATION,RH,33,43,-35,1,CCW,15.27216308,20.07448975,24.60473579
2,1,ADAPTATION,RH,34,44,-33,1,CCW,17.24501427,19.38979557,21.04772222
2,1,ADAPTATION,RH,35,45,-30,1,CCW,18.86949816,19.29950949,20.26836123
2,1,ADAPTATION,RH,36,46,-28,1,CCW,17.95610745,18.49551241,20.56289262
2,1,ADAPTATION,RH,37,47,-25,1,CCW,19.56252596,17.99537552,20.72164085
2,1,ADAPTATION,RH,38,48,-34,1,CCW,18.45867369,18.42336136,22.98572528
2,1,ADAPTATION,RH,39,49,-33,1,CCW,16.75016498,21.15549505,26.42800755
2,1,ADAPTATION,RH,40,50,-29,1,CCW,18.90602816,20.69998745,24.25360341
2,1,ADAPTATION,RH,41,51,-32,1,CCW,20.22861219,20.48381525,24.38268371
2,1,ADAPTATION,RH,42,52,-31,1,CCW,17.44111313,21.04095056,24.86791532
2,1,ADAPTATION,RH,43,53,-34,1,CCW,19.62208806,19.6530277,26.5540217
2,1,ADAPTATION,RH,44,54,-37,1,CCW,21.2437605,21.45488253,28.03179628
2,1,ADAPTATION,RH,45,55,-23,1,CCW,18.58022795,21.1558737,17.38537815
2,1,ADAPTATION,RH,46,56,-29,1,CCW,15.75503124,21.22925467,22.12727072
2,1,ADAPTATION,RH,47,57,-30,1,CCW,19.13104401,19.24953246,20.99252754
2,1,ADAPTATION,RH,48,58,-25,1,CCW,20.6744817,22.95027179,18.68763116
2,1,ADAPTATION,RH,49,59,-29,1,CCW,21.6379412,21.31060635,23.41873262
2,1,ADAPTATION,RH,50,60,-33,1,CCW,18.07582173,20.0006836,25.40291675
2,1,ADAPTATION,RH,51,61,-27,1,CCW,18.09362054,22.02718594,21.36277373
2,1,ADAPTATION,RH,52,62,-22,1,CCW,18.65079081,21.3808058,19.73509818
2,1,ADAPTATION,RH,53,63,-26,1,CCW,19.16199468,21.23744421,20.03720392
2,1,ADAPTATION,RH,54,64,-31,1,CCW,19.7961842,20.91279199,23.79937535
2,1,ADAPTATION,RH,55,65,-27,1,CCW,18.20103671,23.7395393,19.65381357
2,1,ADAPTATION,RH,56,66,-34,1,CCW,18.80781101,23.52798887,25.26194098
2,1,ADAPTATION,RH,57,67,-28,1,CCW,22.96759718,23.81001334,22.23708117
2,1,ADAPTATION,RH,58,68,-31,1,CCW,19.56065466,22.77335325,26.25573142
2,1,ADAPTATION,RH,59,69,-28,1,CCW,24.00813357,23.49436118,25.25163683
2,1,ADAPTATION,RH,60,70,-33,1,CCW,20.21325477,22.80899666,26.41218217
2,1,ADAPTATION,RH,61,71,-23,1,CCW,23.29093044,24.06786221,21.52696442
2,1,ADAPTATION,RH,62,72,-37,1,CCW,23.58106082,24.14680801,30.81496158
2,1,ADAPTATION,RH,63,73,-29,1,CCW,19.52998365,24.0114574,23.41888385
2,1,ADAPTATION,RH,64,74,-29,1,CCW,22.5002993,23.44867648,22.63229985
2,1,ADAPTATION,RH,65,75,-24,1,CCW,22.75759989,23.48169175,21.4726132
2,1,ADAPTATION,RH,66,76,-30,1,CCW,20.96717643,20.81862272,24.08827193
2,1,ADAPTATION,RH,67,77,-30,1,CCW,21.27507275,22.2518965,25.27273327
2,1,ADAPTATION,RH,68,78,-25,1,CCW,23.95157688,22.6905054,24.06933153
2,1,ADAPTATION,RH,69,79,-32,1,CCW,21.71891031,24.65965801,28.20772297
2,1,ADAPTATION,RH,70,80,-38,1,CCW,19.53183834,24.71120991,28.88634247
2,1,ADAPTATION,RH,71,81,-35,1,CCW,20.58896838,23.36429237,29.02438898
2,1,ADAPTATION,RH,72,82,-30,1,CCW,21.96363564,22.34505405,26.68433923
2,1,ADAPTATION,RH,73,83,-32,1,CCW,21.46070861,24.67524848,28.94532872
2,1,ADAPTATION,RH,74,84,-31,1,CCW,21.57697167,25.07213774,24.81834841
2,1,ADAPTATION,RH,75,85,-32,1,CCW,23.00955123,26.30507335,25.60820126
2,1,ADAPTATION,RH,76,86,-22,1,CCW,20.11487346,22.09269961,19.05744758
2,1,ADAPTATION,RH,77,87,-26,1,CCW,21.67722018,23.6122371,21.80687331
2,1,ADAPTATION,RH,78,88,-29,1,CCW,23.69132495,26.55821341,28.92841647
2,1,ADAPTATION,RH,79,89,-33,1,CCW,22.78892889,27.14661791,28.80071015
2,1,ADAPTATION,RH,80,90,-31,1,CCW,23.01898014,25.95773959,28.24423555
2,1,ADAPTATION,RH,81,91,-30,1,CCW,25.35196695,25.02491846,27.10351428
2,1,ADAPTATION,RH,82,92,-21,1,CCW,23.14506773,26.85863217,21.71518857
2,1,ADAPTATION,RH,83,93,-24,1,CCW,26.54390849,25.27629366,24.37544158
2,1,ADAPTATION,RH,84,94,-35,1,CCW,24.75335058,24.41568601,32.55173759
2,1,ADAPTATION,RH,85,95,-31,1,CCW,24.31956027,24.59341751,26.35370008
2,1,ADAPTATION,RH,86,96,-30,1,CCW,22.07300412,27.73714616,25.84213901
2,1,ADAPTATION,RH,87,97,-29,1,CCW,21.42505368,24.98290383,23.8688287
2,1,ADAPTATION,RH,88,98,-42,1,CCW,26.17322901,26.43666767,36.76662248
2,1,ADAPTATION,RH,89,99,-27,1,CCW,23.70451584,24.85940906,25.83008696
2,1,ADAPTATION,RH,90,100,-29,1,CCW,21.75419595,26.31377819,25.61083417
2,1,ADAPTATION,RH,91,101,-32,1,CCW,23.03487635,26.29340208,27.26915836
2,1,ADAPTATION,RH,92,102,-35,1,CCW,26.26205984,26.09172409,31.51226645
2,1,ADAPTATION,RH,93,103,-29,1,CCW,23.70684723,25.5554665,27.50636932
2,1,ADAPTATION,RH,94,104,-34,1,CCW,25.85457699,27.48188967,32.99359203
2,1,ADAPTATION,RH,95,105,-34,1,CCW,23.15330372,26.23646337,28.35934503
2,1,ADAPTATION,RH,96,106,-31,1,CCW,25.1426489,25.10481392,30.20375015
2,1,ADAPTATION,RH,97,107,-25,1,CCW,24.18693239,27.02631646,25.75160542
2,1,ADAPTATION,RH,98,108,-33,1,CCW,22.8773094,26.20677394,29.43338365
2,1,ADAPTATION,RH,99,109,-30,1,CCW,25.50129219,26.52359025,25.32086051
2,1,ADAPTATION,RH,100,110,-36,1,CCW,24.95997498,27.04436054,32.75787998
2,1,ADAPTATION,RH,101,111,-27,1,CCW,26.51556503,28.00176399,27.44654776
2,1,ADAPTATION,RH,102,112,-30,1,CCW,23.29522346,28.51107085,25.70251454
2,1,ADAPTATION,RH,103,113,-28,1,CCW,25.64819787,29.26135355,28.72971722
2,1,ADAPTATION,RH,104,114,-23,1,CCW,26.13305301,26.00084538,21.54060788
2,1,ADAPTATION,RH,105,115,-26,1,CCW,23.78605377,26.78922235,25.75323479
2,1,ADAPTATION,RH,106,116,-22,1,CCW,23.62419699,25.77039833,20.83589074
