GROUP,SUBJECT,PHASE,TRIAL,TARGET,ROT,DIR,HA_INITIAL,HA_END,CA_END
1,25,Baseline,10,0,0,CCW,3.169148594,2.512821929,-2.512821929
1,26,Baseline,1,0,0,CCW,3.430171123,3.333629119,-3.333629119
1,26,Baseline,2,0,0,CCW,4.152065018,4.030012206,-4.030012206
1,26,Baseline,3,0,0,CCW,2.185278899,2.491651795,-2.491651795
1,26,Baseline,4,0,0,CCW,1.26689819,1.05859101,-1.05859101
1,26,Baseline,5,0,0,CCW,1.583012275,1.627986924,-1.627986924
1,26,Baseline,6,0,0,CCW,4.674604575,4.557356209,-4.557356209
1,26,Baseline,7,0,0,CCW,-0.020648096,-0.222284618,0.222284618
1,26,Baseline,8,0,0,CCW,1.872198852,1.360719944,-1.360719944
1,26,Baseline,9,0,0,CCW,-0.707190104,-0.319270876,0.319270876
1,26,Baseline,10,0,0,CCW,5.45434252,5.821319859,-5.821319859
1,27,Baseline,1,0,0,CCW,-0.670145511,-1.014014152,1.014014152
1,27,Baseline,2,0,0,CCW,5.148471001,4.945440415,-4.945440415
1,27,Baseline,3,0,0,CCW,0.619804535,0.773906637,-0.773906637
1,27,Baseline,4,0,0,CCW,-3.121228477,-3.019741484,3.019741484
1,27,Baseline,5,0,0,CCW,0.04126939,-0.188504527,0.188504527
1,27,Baseline,6,0,0,CCW,6.719971321,6.767590149,-6.767590149
1,27,Baseline,7,0,0,CCW,2.162087504,1.582286259,-1.582286259
1,27,Baseline,8,0,0,CCW,1.652312362,1.420785775,-1.420785775
1,27,Baseline,9,0,0,CCW,0.357596754,0.975505132,-0.975505132
1,27,Baseline,10,0,0,CCW,5.652439913,5.729327519,-5.729327519
1,28,Baseline,1,0,0,CCW,1.145675574,1.250405244,-1.250405244
1,28,Baseline,2,0,0,CCW,4.884486812,4.50678458,-4.50678458
1,28,Baseline,3,0,0,CCW,2.345817369,2.313133734,-2.313133734
1,28,Baseline,4,0,0,CCW,-1.900919164,-1.411052674,1.411052674
1,28,Baseline,5,0,0,CCW,3.395488142,3.452491195,-3.452491195
1,28,Baseline,6,0,0,CCW,3.650599858,3.107119977,-3.107119977
1,28,Baseline,7,0,0,CCW,3.719005591,3.777960262,-3.777960262
1,28,Baseline,8,0,0,CCW,1.077505103,1.396290759,-1.396290759
1,28,Baseline,9,0,0,CCW,1.916407217,1.797861746,-1.797861746
1,28,Baseline,10,0,0,CCW,9.65177745,9.071845719,-9.071845719
1,29,Baseline,1,0,0,CCW,4.90847087,4.802135546,-4.802135546
